ID,Date,Content,Username,Retweets,Likes,Replies,Quote Tweets,Hashtags
1.65821E+18,2023-05-15 20:42:32+00:00,"@thee_bridge96 I'm Sorry, it's Hilda Baci or no one!",MANOLOBLAHNIKS1,0,0,0,0,
1.65821E+18,2023-05-15 20:42:44+00:00,HILDA BACI IS THE REAL IDAN 🫡,2riches_wavvy,0,0,0,0,
1.65821E+18,2023-05-15 20:42:30+00:00,"I was wondering what would've become of Hilda Baci, if Buhari went their to test her food.
We all know what became the fate of those he congratulated.",UgooAgbams,0,0,0,0,
1.65821E+18,2023-05-15 20:42:30+00:00,"Gistreel: Hilda Baci: “People support whatever gives them value” – Erica Nlewedim tackles Teddy A after he blasted folks for chasing clout 
https://t.co/SYdgXx5IR9 https://t.co/96Bih5atoL",media_newsnoon,0,0,0,0,
1.65821E+18,2023-05-15 20:42:23+00:00,Congratulations Hilda Baci,bukkess,0,0,0,0,
1.65821E+18,2023-05-15 20:42:23+00:00,Hilda Baci is a phenomenal person! Wow!,Cinnammaks,0,0,0,0,
1.65821E+18,2023-05-15 20:42:18+00:00,Everybody wan use Hilda baci trend 😂😂🤦🏾‍♂️,Sammyblaq735,0,0,0,0,
1.65821E+18,2023-05-15 20:42:16+00:00,My account is everywhere please this is my Real account don't let any one scam you,HildaaBaci,0,1,1,0,
1.65821E+18,2023-05-15 20:42:15+00:00,"Kuami Eugene changes hairstyle because of look-alikes, send a message to them in latest video

____________
Hajia 4Real Sheldon Guinness World Record Scam Shatta Eeii #Hildabacicookathon #hildabaci #100hrs Stonebwoy Canada Firestick https://t.co/vMGPuefvH9",blacctbwoy_,1,4,0,0,"['Hildabacicookathon', 'hildabaci', '100hrs']"
1.65821E+18,2023-05-15 20:42:14+00:00,"“A baddie and a record breaker”, Checkout mind blowing Bikini photos Of Guinness World Record Holder and Celebrity Chef, Hilda Baci https://t.co/SJDNEzXBn5",midehblogger,0,1,0,0,
1.65821E+18,2023-05-15 20:42:13+00:00,"Hilda Baci is Superhuman fr, she's such a huge inspiration to many people....100hrs no easy abeg😭😰 #100hrs #96hrs https://t.co/seFsdkuM5Z",JingoTheDon,5,12,1,0,"['100hrs', '96hrs']"
1.65821E+18,2023-05-15 20:42:10+00:00,"@ShehuSani Once the joy and excitement of GWR of our dear sister, Hilda Baci dissipates say next week,  the Ethno-religious BIGOTS will come out.",Akiiakagu,0,7,0,0,
1.65821E+18,2023-05-15 20:42:07+00:00,"All these brands coming out to gift #Hilda land, traveling tickets, vacation to Maldives etc, who will hold them accountable till their promises are kept?

#Hildabacicookathon 
#hildabaci",iampauloyewusi,0,1,0,0,"['Hilda', 'Hildabacicookathon', 'hildabaci']"
1.65821E+18,2023-05-15 20:42:04+00:00,@GWR You are not taking Nigerians seriously. It's taking you forever to confirm Hilda Baci's record but only takes you minutes to confirm others. We are watching you and your game. Keep printing,ArejonaB,0,5,1,0,
1.65821E+18,2023-05-15 20:42:04+00:00,"Hilda Baci learnt from Kaffy and pushed her limit beyond imagination. Kaffy’s reign was brief as it took only 2 weeks for her danceathon record to be broken. One thing I am sure of, is that Hilda’s record is going to be unbroken for a long long time.",ShittuHQ,0,0,0,0,
1.65821E+18,2023-05-15 20:42:03+00:00,"Hilda Baci finally brings It to a close after 100 hours and 40mins.🔥🔥🔥🔥

No doubt, a strong message has been passed to the world,

""You really can do anything you put your mind to"".💯

I am inspired🔥💪🔥 https://t.co/FWCfdVglNf",AlumonaMicah,0,0,0,0,
1.65821E+18,2023-05-15 20:41:54+00:00,"Thank you for teaching us to keep at it until our goal is crushed

Thank you for showing us how to run amidst extreme tiredness

Thank you for inspiring us to go beyond our set goals.

Congratulations Hilda Baci
You are a champion. https://t.co/VU0kpBxb5f",Oghenek72370081,0,2,0,0,
1.65821E+18,2023-05-15 20:41:53+00:00,"Congratulations 💖Hilda Effiong Bassey,  I'm not surprise because I know greatness lays within us💪🏽
#hildabaci 
#GuinnessWorldRecord @hildabacipage https://t.co/HDzVwLqTI1",officialreckie,0,0,0,0,"['hildabaci', 'GuinnessWorldRecord']"
1.65821E+18,2023-05-15 20:41:45+00:00,Watch how Some Nigerian Vendors including Some sc@mmers will Rush now to start doing Sales Tagging it “The Hilda baci Guinness World sales “———And when you order from them they keep your Money And goods for 1Million Years 🤦🏽‍♂️🤣 Run oooooooooo https://t.co/21Uk7pPheI,Aunty_Chinny,0,0,0,0,
1.65821E+18,2023-05-15 20:41:43+00:00,@SonnieBaduuk @quame_age It is me,The_Promise98,0,0,0,0,
1.65821E+18,2023-05-15 20:41:39+00:00,Hilda Baci Bah Did It🥳🥳🥳🇬🇲🇬🇲🇬🇲🇬🇲🇬🇲🇬🇲🥺🥺🥺🥺🥺🇬🇲🇬🇲🇬🇲🇬🇲😍😍😍,MBeckieee,0,2,3,0,
1.65821E+18,2023-05-15 20:41:39+00:00,"Queens 👑💖

#Tacha  #hildabaci",eunice20500,2,3,0,0,"['Tacha', 'hildabaci']"
1.65821E+18,2023-05-15 20:41:35+00:00,"Record Holder Lata Tondon Reacts as Hilda Baci Smashes Her Guinness World Record
-
-
-
-
-
#Messi Nigerians Davido Wizkid BAHDMAN FLASH Asake Rihanna Burna Idan Ghaniains  #Rolnaldo   #96hrs Record Broken Guinness World Record  #100hrs Seun Kuti Portable LaLiga Tobi Amusan https://t.co/sYbDruyz3w",space24NG,1,0,0,0,"['Messi', 'Rolnaldo', '96hrs', '100hrs']"
